,Company,Date,Trade,Job,Job_Cleaned,Job_Focus,Word_Count,Project_Type,Total_Pay,Pay_Rate_Type,Pay_Rate_in_Dollars,Pay_Rate_Original,Hours_Worked,Avg_Hourly_Pay,How Quickly?,Pay Format,Relationship,Rights,Contract,On-site,Kill Fee,Kill Fee Amount,Overtime,Scope Expansion,Expenses,Reimbursement,Workplace Safety,Pitch Guide,Listed Rates,Grant Funding,Grant Rate,Section,Country,FSP Membership,State,Company Country,Pronouns,Race and/or Ethnicity,Career Level,Age,Experience,Gender Identity,Original_Date,company_names_clean,news_type
933,The Guardian,2018-07-05,"Photographer, Writer",Photos / reporting,photos / reporting,writing and reporting,,article,600,,0,$600 for story,40,15,2 months,Direct Deposit,"They reached out to me with an assignment, Network referral",Unsure,Unsure,Yes,Unsure,,Unsure,Job did not expand,Required expenses &amp; I wasn't reimbursed,,Was not hazardous,Unsure,Unsure,Unsure,,International News,USA,Yes,CO,USA branch of English Company,They/Their,White,0-5 years,,"Loved it, Would recommend to others","Genderfluid, Genderqueer, Nonbinary",2018-07-05,The Guardian,news
934,The Guardian,2024-01-01,Writer,800 words reporting,800 words reporting,writing and reporting,800,article,600,per word,0.75,$0.75 per word,20,30,2 weeks or less,Direct Deposit,Pre-existing relationship,Work For Hire,Unsure,Field reporting elsewhere,Unsure,,,Job expanded &amp; I was compensated,Required expenses &amp; I was reimbursed,Easy,,No,No,Unsure,,"International News, National News, Politics",USA,No,CA,UK,,,10-15 years,,Loved it,,2024-01-01,The Guardian,news
935,The Guardian,2024-01-01,Writer,7000 word reported series,7000 word reported series,writing and reporting,7000,article,9000,per word,1,$1 per word + per diem research fee,,,2 weeks or less,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Unsure,Yes,No,"Yes, but the job wasn't killed",,Did not require overtime,Job expanded &amp; I was compensated,Did not require expenses,,"Was not hazardous, Hazard pay was not required",Unsure,No,No,,"National News, Health &amp; Wellness",United States,No,California,,She/Her,White,0-5 years,30,"Loved it, Would recommend to others","Cis, Female",2024-01-01,The Guardian,news
936,The Guardian,2023-08-11,Writer,1000-word news story with some advance work,1000 word news story with some advance work,writing and reporting,1000,article,500,,0,,10,50,6 weeks,Check by mail,Pre-existing relationship,Unsure,Unsure,No,Unsure,,,,Did not require expenses,,Was not hazardous,,,,,,United States,Yes,Pennsylvania,United Kingdom,He/His,White,10-15 years,35,Loved it,Male,2023-08-11,The Guardian,news
937,The Guardian,2023-02-15,Writer,1500 words of reporting,1500 words of reporting,writing and reporting,1500,article,1938,per word,1.25,$1.25 per word,38,51,2 weeks or less,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Unsure,No,No,"No, but the job wasn't killed",,Did not require overtime,Job expanded &amp; I wasn't compensated,Did not require expenses,,"Was not hazardous, Hazard pay was not required",No,No,No,,National News,Canada,No,,USA,She/Her,East Asian,5-10 years,29,Whatevs,Female,2023-02-15,The Guardian,news
938,The Guardian,2021-05-01,Writer,"3,000 words reporting",3000 words reporting,writing and reporting,3000,article,2600,per word,0.8,$0.80 per word,,,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,,Yes,No,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,No,,"National News, Politics",US,Yes,New York,,She/Her,White,5-10 years,30,"Loved it, Would recommend to others",Female,2021-05-01,The Guardian,news
939,The Guardian,2020-12-30,Writer,"1,200 word reported article",1200 word reported article,writing and reporting,1200,article,643,per word,0.5,$0.50/word,,,30 days,Direct Deposit,They asked me to pitch,Unsure,Yes,No,"Yes, but the job wasn't killed",250,Did not require overtime,Job expanded &amp; I wasn't compensated,Did not require expenses,,,No,Publicly Available,No,,National News,US,Yes,NY,UK,She/Her,White,5-10 years,29,Hated it,"Cis, Female",2020-12-30,The Guardian,news
940,The Guardian,2021-03-01,Writer,1000 word reported piece,1000 word reported piece,writing and reporting,1000,article,1000,,0,,,,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,,,,,,,,,,,,,,,"International News, National News, Local News, Science",,,,,,,,,,,2021-03-01,The Guardian,news
941,The Guardian,2021-01-19,Writer,Book excerpt,book excerpt,writing and reporting,,other,682,,0,,,,New Job - Still Waiting,Haven't been paid yet,They reached out to me with an assignment,,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,,Did not require expenses,,,Unsure,Unsure,No,,International News,USA,Yes,NY,United Kingdom,He/His,White,5-10 years,31,Whatevs,Cis,2021-01-19,The Guardian,news
942,The Guardian,2021-01-15,Writer,1000 words news commentary,1000 words news commentary,writing and reporting,1000,article,150,,0,,,,New Job - Still Waiting,Haven't been paid yet,They asked me to pitch,,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,,Job did not expand,Did not require expenses,,Hazard pay was not required,Unsure,Unsure,No,,Editorial &amp; Opinion,USA,Yes,NY,United Kingdom,He/His,White,5-10 years,31,Whatevs,Cis,2021-01-15,The Guardian,news
943,The Guardian,2020-02-01,Writer,On call for local reporting,on call for local reporting,writing and reporting,,other,300,per day,300,300 per day,,,30 days,Direct Deposit,Pre-existing relationship,,,,,,,,,,,,,,,,,No,,,She/Her,White,0-5 years,,Loved it,Female,2020-02-01,The Guardian,news
944,The Guardian US,2024-01-01,Writer,1380 words reporting,1380 words reporting,writing and reporting,1380,article,1050,per word,0.8,80 cents a word,40,26.25,2 weeks or less,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,No,Unsure,,Unsure,Unsure,Required expenses &amp; I wasn't reimbursed,,Was not hazardous,Unsure,No,No,,National News,,No,,,She/Her,White,10-15 years,42,Would recommend to others,Female,2024-01-01,The Guardian,news
945,"The Guardian US, Arts Section",2024-07-15,Writer,1200 word reported piece which ended up at 1500 words.,1200 word reported piece which ended up at 1500 words.,writing and reporting,1500,article,400,flat,400,400 for the article,20,20,New Job - Still Waiting,Direct Deposit,Cold pitch - I reached out to them,Unsure,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,,No,Unsure,No,,Arts and Culture,US,No,"Florida, Miami",US and UK,She/Her,Hispanic,5-10 years,,Whatevs,Female,2024-07-15,The Guardian,news
946,The Hechinger Report,2023-10-01,Writer,Freelance reporting 2000 words,freelance reporting 2000 words,writing and reporting,2000,article,3000,per word,1.5,$1.50/word,30,100,2 weeks or less,"Story still in progress, but Hechinger pays after you submit draft and it goes to copy editor. They are really good about this.","Pre-existing relationship, They asked me to pitch",Unsure,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Required expenses &amp; I wasn't reimbursed,,Was not hazardous,Publicly Available,Publicly Available,No,,not sure -- the entire pub is about education,USA,No,IL,USA,She/Her,White,0-5 years,56,Would recommend to others,Female,2023-10-01,The Hechinger Report,news
947,The History Channel,2024-09-05,Writer,1200-word reported article,1200 word reported article,writing and reporting,1200,article,500,flat,500,500 for entire article,12,41.67,New Job - Still Waiting,Direct Deposit,Pre-existing relationship,Unsure,Yes,No,Unsure,,Did not require overtime,Job expanded &amp; I wasn't compensated,Did not require expenses,,Hazard pay was not required,No,Unsure,No,,History,USA,No,NY,USA,She/Her,White,15-20 years,,Whatevs,"Cis, Female",2024-09-05,History Channel,not_news
948,The Imprint,2020-10-01,Writer,800-1000 word single source profile,800 1000 word single source profile,writing and reporting,900,article,750,flat,750,flat,,,2 weeks or less,Direct Deposit,They reached out to me with an assignment,Unsure,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Local News,US,Yes,NY,US,She/Her,White,5-10 years,38,"Loved it, Would recommend to others","Female, Cis",2020-10-01,The Imprint,news
949,The Independent,2021-10-27,Writer,opinion writing,opinion writing,writing and reporting,,op/ed,300,,0,300,,,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,No,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Editorial &amp; Opinion,United States,No,NY,United States,She/Her,"Black, Indigenous, Jewish, West Indian",0-5 years,23,Loved it,"Cis, Female",2021-10-27,The Independent,news
950,The Institute for Nonprofit News,2020-12-01,"Writer, Case Study Researcher",Two person interview for a 1100-word case study,two person interview for a 1100 word case study,writing and reporting,1100,other,1000,flat,1000,Fixed rate of $1000,,,30 days,Direct Deposit,"Cold pitch - I reached out to them, Network referral",Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,Yes,1000,Guide/teaching tool for member news organizations,Georgia,No,,USA,She/Her,,0-5 years,,Loved it,,2020-12-01,Institute for Nonprofit News,not_news
951,The Institute for Southern Studies/Facing South,2021-11-15,Writer,"2000 words, reporting",2000 words reporting,writing and reporting,2000,article,500,flat,500,$500 for up to 2000 words.,,,2 weeks or less,Check by mail,Cold pitch - I reached out to them,,No,No,"No, but the job wasn't killed",,,Job expanded &amp; I wasn't compensated,,,,,,,,Politics,US,Yes,,US,She/Her,White,0-5 years,,Whatevs,"Cis, Female",2021-11-15,Facing South,ambiguous
952,The Intercept,2025-02-03,Writer,2500 words reporting,2500 words reporting,writing and reporting,2500,article,1850,flat,1850,"$1850 flat rate for 2000-2500 words (the story ended up publishing at more than 3,000 but that was because I wanted to write more).",50,37,6 weeks,Direct Deposit,Network referral,Work For Hire,Yes,No,"Yes, but the job wasn't killed",462.5,Did not require overtime,Job did not expand,Did not require expenses,,"Was not hazardous, Hazard pay was not required",Publicly Available,No,Yes,2438,"National News, Politics/immigration",United States,No,New York,United States,She/Her,White,0-5 years,28,Whatevs,"Cis, Female",2025-02-03,The Intercept,news
953,The Intercept,2018-04-01,Writer,"11000-word story involving close to three years of reporting, including over a hundred interviews (had to reinterview sources multiple times due to the passage of time), transcription by hand, analyzing a complex data set, dozens of meetings, 26 rounds of revisions",11000 word story involving close to three years of reporting including over a hundred interviews (had to reinterview sources multiple times due to the passage of time) transcription by hand analyzing a complex data set dozens of meetings 26 rounds of revisions,writing and reporting,11000,feature,16500,flat,16500,"$2/word, later renegotiated for a flat fee",,,Over 3 months,Check by mail,Pre-existing relationship,Unsure,Yes,Yes,"Yes, but the job wasn't killed",500,Required overtime &amp; I wasn't compensated,Job expanded &amp; I wasn't compensated,Required expenses &amp; I wasn't reimbursed,,"Was hazardous &amp; protective measures were not taken, Did not receive hazard pay",No,No,No,,"International News, Technology",U.S.,No,,U.S.,Prefer not to say,Prefer not to say,10-15 years,,"Hated it, Would not recommend to others",Prefer not to say,2018-04-01,The Intercept,news
954,The Intercept,2020-01-01,Writer,"3,000 word feature based on reporting",3000 word feature based on reporting,writing and reporting,3000,feature,1700,,0,,,,2 weeks or less,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,Yes,"Yes, but the job wasn't killed",425,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,Politics,USA,Yes,New York,USA,He/His,"Jewish, White",5-10 years,32,Loved it,"Cis, Male",2020-01-01,The Intercept,news
955,The Intercept,2020-07-01,Writer,3300-word reported article (no travel),3300 word reported article (no travel),writing and reporting,3300,article,1725,flat,1000,"$1000 for 1500 words was the original agreement, but it ran way over that length",,,30 days,Direct Deposit,"Pre-existing relationship, Cold pitch - I reached out to them",Unsure,Yes,No,"Yes, but the job wasn't killed",250,Did not require overtime,"Job expanded (partially at my prodding) in terms of the word count more than doubling, and I was compensated partially but not fully",Required expenses &amp; I was reimbursed,I simply added the expanses to my final invoice,Was not hazardous,No,No,No,,,USA,Yes,NY,NY,He/His,White,5-10 years,31,Would recommend to others,Male,2020-07-01,The Intercept,news
956,The Intercept,2020-02-20,Photographer,"Single day photo assignment, editorial",single day photo assignment editorial,photography,,graphics,500,per day,500,$500 per day + mileage,,,30 days,Direct Deposit,Pre-existing relationship,Shared Copyright,Yes,No,"Yes, but the job wasn't killed",250,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,Receipts and line items added to final invoice,Was not hazardous,No,No,No,,National News,United States,,,United States,,,0-5 years,,,,2020-02-20,The Intercept,news
957,The Intercept,2020-08-15,Writer,1500 word reporting,1500 word reporting,writing and reporting,1500,article,750,,0,,,,30 days,Direct Deposit,Cold pitch - I reached out to them,,Yes,,Unsure,,,,,,,,,,,,,,,,,,,,,,2020-08-15,The Intercept,news
958,The Intercept,2020-06-08,Writer,1200 reported words,1200 reported words,writing and reporting,1200,article,750,,0,,,,,,Pre-existing relationship,,,,,,,,,,,,,,,,United States,Yes,NY,United States,She/Her,White,10-15 years,36,"Loved it, Would recommend to others","Cis, Female",2020-06-08,The Intercept,news
959,The Intercept,2020-08-17,Writer,"2,000 words reported",2000 words reported,writing and reporting,2000,article,1250,,0,,,,30 days,Check by mail,Pre-existing relationship,Shared Copyright,Yes,,,,,,,,,,,,,,United States,Yes,NY,United States,She/Her,White,10-15 years,36,"Loved it, Would recommend to others","Cis, Female",2020-08-17,The Intercept,news
960,The Intercept,2020-02-10,Writer,"2,000-word reporting",2000 word reporting,writing and reporting,2000,article,1750,,0,,,,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,Unsure,Yes,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Required expenses &amp; I wasn't reimbursed,,Was not hazardous,Unsure,Unsure,No,,"Local News, Politics, Health &amp; Wellness",US,Yes,New York,US,She/Her,"Jewish, White",5-10 years,30,Loved it,"Cis, Female",2020-02-10,The Intercept,news
961,The Lily (Published by The Washington Post),2020-12-08,Writer,"Article, 1500 words reporting",article 1500 words reporting,writing and reporting,1500,article,400,,0,,,,2 weeks or less,Direct Deposit,Pre-existing relationship,,Yes,No,"No, but the job wasn't killed",,Unsure,,,,,,,,,,,,,,,,,,,,2020-12-08,The Washington Post,news
962,The Lily (Published by The Washington Post),2019-03-01,"Cartoonist, Illustrator, Writer",Comic (10 panels or less),comic (10 panels or less),graphics/design,,graphics,200,per graphic,200,$200 per comic,,,2 weeks or less,Direct Deposit,They asked me to pitch,Shared Copyright,Yes,No,Unsure,,"N/a, flat rate ",Job did not expand,Did not require expenses,,Was not hazardous,Unsure,No,No,,Editorial &amp; Opinion,USA,No,NJ at time of job,USA,She/Her,White,5-10 years,30,Would recommend to others,"Cis, Female",2019-03-01,The Washington Post,news
963,The Lily (Published by The Washington Post),2020-12-07,Writer,"1,500 word reporting",1500 word reporting,writing and reporting,1500,article,400,,0,,,,,,Cold pitch - I reached out to them,,,,,,,,,,,,,Yes,700,,United States,Yes,NY,United States,She/Her,White,10-15 years,36,Whatevs,"Cis, Female",2020-12-07,The Washington Post,news
964,The Los Angeles Times,2024-07-01,Writer,"Book related op-ed, 800-900 words",book related op ed 800 900 words,writing and reporting,850,op/ed,600,,0,,15,40,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2024-07-01,Los Angeles Times,news
